Total Household Income,Total Food Expenditure
58651,37571
68730,44146
93812,51313
167034,93279
83590,59057
140382,97826
189172,102739
78338,31099
275500,142770
1175115,119435
192328,85359
118380,55607
387909,84198
158656,89383
181017,95497
139414,67973
45105,22443
24110,12366
311591,78751
79168,50486
223805,52783
106030,52181
100236,41466
123621,52969
59558,26438
133567,66258
120310,75492
169312,93644
81361,31796
80090,51032
132130,71808
49125,26557
49647,27736
127712,49687
98452,43634
96330,49148
124485,59133
87027,76442
91370,51448
94456,56662
145670,52150
46738,33643
230857,99769
207753,74561
33023,15398
64250,45799
660987,276715
1724760,423533
189714,53879
1691580,123901
349681,152337
453465,96147
196060,82313
129097,49704
82883,51095
170819,58011
78114,56311
41479,20016
289267,69059
157400,42400
352189,48004
198685,39003
440365,114892
102255,55908
11639365,280597
290077,57654
189136,58559
509426,96330
167931,60480
122314,58970
88337,28007
321263,78060
408882,91835
174066,63081
405007,43393
66951,45182
85016,30003
149484,58752
143133,60390
131817,54124
145097,32618
215553,95712
122351,49428
167409,34975
44580,31693
63926,42827
118542,63189
92213,47877
110079,49837
164079,49564
128245,52816
207535,77485
132657,63790
115465,68646
73238,40822
314017,70569
426393,93962
41589,25288
77988,24071
132689,56936
140793,39678
224229,67660
765689,118563
163119,71447
132982,57926
46188,28991
115662,72178
81005,53261
136983,36719
131190,54388
88399,42310
121519,64747
60254,32180
83233,39246
96660,29838
261070,61766
281540,61803
102395,53443
144103,56049
86061,36945
231469,102176
87979,35353
155503,44506
69835,31138
250725,90232
281469,72159
139176,80163
89860,49286
100988,61325
105112,87695
154778,45163
161115,65426
121960,80905
111100,57897
270619,133649
222828,72017
197383,93369
277058,124828
262269,137588
91537,23701
135741,69567
1728465,271141
535140,158634
555190,133173
314207,90332
234401,88019
157142,68008
285210,74132
485949,108637
149625,88380
97951,60294
121114,74713
185018,72555
103433,42020
129305,57138
84474,33525
79475,38975
85406,73330
68186,31169
103554,76214
67590,28173
117835,47973
133339,69143
61325,23435
115235,69418
105011,48841
85142,41585
134793,78487
99245,54330
126738,62243
156175,73568
124270,44448
464649,166804
111570,62350
104965,47853
150735,62275
164801,89779
136485,75347
51135,22374
106149,39915
112620,73770
129182,80250
136167,72897
217170,89129
